                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60917,                0.34775,                 1.0016,                0.97867,                0.97017,                0.99012,                0.84359,                0.62729,                0.30556,                 1.0394,             0.00096215,             0.00096215,             0.00096215
                     36,                0.60467,                0.34376,                0.99736,                0.98277,                0.96936,                0.98904,                0.84693,                0.62075,                0.30632,                 1.0376,               0.000948,               0.000948,               0.000948
                     37,                0.60078,                   0.34,                0.99852,                 0.9837,                0.96981,                0.98987,                0.84615,                0.62364,                0.30371,                  1.033,             0.00093385,             0.00093385,             0.00093385
                     38,                0.60514,                0.34256,                0.99813,                0.98267,                0.97167,                0.98838,                0.84233,                0.61914,                0.30156,                 1.0258,              0.0009197,              0.0009197,              0.0009197
                     39,                0.59771,                0.34051,                0.99704,                0.98844,                0.95823,                0.98895,                0.84486,                0.62641,                0.30427,                 1.0308,             0.00090556,             0.00090556,             0.00090556
                     40,                 0.5858,                0.33123,                0.98515,                0.98016,                   0.97,                0.99021,                0.84546,                0.61945,                0.29636,                  1.026,             0.00089141,             0.00089141,             0.00089141
                     41,                0.58405,                 0.3262,                 0.9874,                0.98025,                0.97001,                0.98967,                0.84712,                0.62164,                0.29939,                 1.0417,             0.00087726,             0.00087726,             0.00087726
                     42,                0.58022,                0.32645,                0.98651,                0.97501,                0.97747,                0.99085,                0.84654,                0.61773,                0.29624,                 1.0335,             0.00086312,             0.00086312,             0.00086312
                     43,                0.58604,                0.32939,                0.99253,                0.97792,                0.97213,                0.98995,                0.85107,                0.61429,                0.29014,                  1.032,             0.00084897,             0.00084897,             0.00084897
                     44,                0.57743,                 0.3244,                0.98653,                0.98153,                0.97164,                 0.9899,                0.84996,                0.60929,                0.28812,                 1.0343,             0.00083482,             0.00083482,             0.00083482
                     45,                0.57084,                0.31788,                0.98433,                 0.9814,                0.96842,                0.98995,                0.85229,                0.61021,                 0.2884,                 1.0457,             0.00082067,             0.00082067,             0.00082067
                     46,                0.55911,                   0.31,                0.97124,                0.98023,                0.97435,                0.98977,                0.85029,                0.61306,                0.28614,                 1.0385,             0.00080653,             0.00080653,             0.00080653
                     47,                0.56386,                0.31073,                0.97346,                0.98341,                0.97312,                0.99063,                0.84907,                0.61216,                0.28511,                 1.0123,             0.00079238,             0.00079238,             0.00079238
                     48,                0.56083,                0.31047,                0.96788,                0.98242,                0.97098,                0.99039,                0.85106,                0.61305,                0.28521,                 1.0224,             0.00077823,             0.00077823,             0.00077823
                     49,                0.55453,                0.30592,                0.96866,                 0.9867,                0.96818,                0.99019,                0.85347,                0.60582,                0.28043,                 1.0264,             0.00076409,             0.00076409,             0.00076409
                     50,                0.55041,                0.30632,                 0.9675,                0.98626,                 0.9699,                0.98996,                0.85184,                0.60506,                0.28353,                 1.0363,             0.00074994,             0.00074994,             0.00074994
                     51,                0.54338,                0.30106,                0.96975,                0.98355,                0.97323,                0.99014,                0.85667,                0.60236,                0.27802,                 1.0284,             0.00073579,             0.00073579,             0.00073579
                     52,                0.53992,                0.29844,                0.96369,                0.98361,                0.97206,                0.99044,                0.85509,                0.60195,                0.28225,                 1.0283,             0.00072164,             0.00072164,             0.00072164
                     53,                 0.5419,                0.30238,                0.96642,                0.98236,                0.97392,                0.99097,                0.85526,                0.59962,                0.28074,                 1.0299,              0.0007075,              0.0007075,              0.0007075
                     54,                0.53549,                0.29858,                0.96041,                0.98353,                0.97283,                 0.9899,                0.85336,                0.60456,                0.28261,                 1.0335,             0.00069335,             0.00069335,             0.00069335
                     55,                0.52771,                0.29157,                0.95827,                0.98597,                 0.9745,                0.99018,                0.85551,                0.60139,                0.27639,                 1.0301,              0.0006792,              0.0006792,              0.0006792
                     56,                0.53061,                  0.293,                0.95562,                0.98255,                 0.9719,                0.99022,                0.85525,                0.60199,                0.27273,                 1.0258,             0.00066506,             0.00066506,             0.00066506
                     57,                0.52178,                0.28521,                0.95435,                0.98206,                0.97239,                0.99031,                0.85537,                0.60445,                0.27641,                 1.0336,             0.00065091,             0.00065091,             0.00065091
                     58,                 0.5175,                0.28549,                0.95064,                0.98211,                0.97472,                0.99058,                0.85883,                0.59301,                0.27325,                 1.0249,             0.00063676,             0.00063676,             0.00063676
                     59,                0.51607,                0.28407,                0.94785,                 0.9828,                0.97501,                0.98926,                0.84821,                0.60258,                  0.276,                 1.0246,             0.00062262,             0.00062262,             0.00062262
                     60,                0.51173,                0.28137,                0.94349,                0.98131,                0.97545,                0.99046,                0.85638,                0.60103,                0.27349,                  1.021,             0.00060847,             0.00060847,             0.00060847
                     61,                0.51134,                0.28046,                0.94766,                0.98323,                0.97353,                0.99027,                0.85814,                 0.5954,                0.26785,                 1.0285,             0.00059432,             0.00059432,             0.00059432
                     62,                0.50865,                0.27976,                0.94941,                0.98505,                0.97106,                0.98954,                0.85655,                 0.5998,                0.27398,                 1.0398,             0.00058017,             0.00058017,             0.00058017
                     63,                0.50365,                0.27907,                0.94343,                 0.9843,                0.97443,                0.99025,                0.85575,                0.59761,                0.27046,                 1.0317,             0.00056603,             0.00056603,             0.00056603
                     64,                 0.5038,                0.28222,                0.94563,                0.97628,                0.97962,                0.99021,                 0.8553,                0.59972,                0.26834,                 1.0325,             0.00055188,             0.00055188,             0.00055188
                     65,                0.49763,                0.27527,                0.94256,                0.97895,                0.97733,                0.99047,                0.85991,                0.59432,                0.27029,                 1.0231,             0.00053773,             0.00053773,             0.00053773
                     66,                0.48998,                0.26956,                 0.9353,                0.98248,                0.97659,                0.99039,                0.85889,                0.59391,                0.26937,                 1.0296,             0.00052359,             0.00052359,             0.00052359
                     67,                0.48829,                 0.2677,                0.94083,                0.97946,                0.97769,                0.99074,                0.85991,                0.59519,                0.26804,                 1.0273,             0.00050944,             0.00050944,             0.00050944
                     68,                0.48586,                0.26916,                0.93624,                0.98212,                0.97481,                0.99029,                0.86006,                 0.5948,                 0.2655,                 1.0332,             0.00049529,             0.00049529,             0.00049529
                     69,                0.48227,                0.26293,                  0.935,                0.98316,                0.97461,                0.99078,                0.86089,                0.59192,                0.26246,                 1.0335,             0.00048114,             0.00048114,             0.00048114
                     70,                0.47936,                0.26716,                0.93366,                0.98526,                0.97429,                0.99071,                 0.8607,                 0.5917,                0.26157,                 1.0332,               0.000467,               0.000467,               0.000467
                     71,                0.47135,                0.25469,                0.92876,                0.98441,                0.97382,                0.99148,                0.86119,                0.58954,                0.25944,                 1.0294,             0.00045285,             0.00045285,             0.00045285
                     72,                0.47201,                0.25876,                0.93137,                0.98616,                0.97283,                0.99143,                0.85988,                0.59186,                0.26093,                 1.0323,              0.0004387,              0.0004387,              0.0004387
                     73,                 0.4679,                0.25578,                0.92946,                0.98174,                0.97721,                0.99031,                0.85901,                0.59122,                0.26149,                 1.0343,             0.00042456,             0.00042456,             0.00042456
                     74,                0.47494,                0.25998,                 0.9341,                0.97938,                0.97943,                 0.9909,                0.85984,                 0.5882,                0.26089,                 1.0285,             0.00041041,             0.00041041,             0.00041041
                     75,                0.46236,                0.25202,                0.92336,                0.98339,                 0.9738,                0.99074,                0.85971,                0.58936,                0.26128,                  1.033,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.4643,                0.25171,                0.92735,                0.97762,                0.97635,                0.99105,                0.86267,                0.59166,                0.26357,                 1.0388,             0.00038211,             0.00038211,             0.00038211
                     77,                0.45027,                0.25063,                0.92048,                 0.9848,                0.97239,                0.99059,                0.86085,                0.58968,                0.26262,                 1.0375,             0.00036797,             0.00036797,             0.00036797
                     78,                0.45759,                0.25219,                0.92323,                0.98868,                0.97381,                0.99142,                0.86133,                0.59083,                0.26091,                 1.0343,             0.00035382,             0.00035382,             0.00035382
                     79,                0.44953,                0.24678,                 0.9176,                 0.9861,                  0.975,                0.99085,                0.85997,                0.58735,                0.25953,                  1.031,             0.00033967,             0.00033967,             0.00033967
                     80,                0.44354,                 0.2424,                0.91432,                0.98727,                0.97527,                0.99087,                0.86217,                0.58892,                 0.2578,                 1.0325,             0.00032553,             0.00032553,             0.00032553
                     81,                 0.4429,                0.23887,                0.91405,                0.98153,                0.97836,                0.99124,                0.86069,                0.58709,                0.25503,                 1.0266,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.4396,                0.23926,                0.91363,                0.98625,                0.97333,                0.99156,                0.86235,                0.58704,                0.25327,                 1.0219,             0.00029723,             0.00029723,             0.00029723
                     83,                0.43994,                0.24032,                0.91481,                0.98777,                0.97488,                0.99182,                0.86421,                0.58701,                0.25508,                 1.0234,             0.00028308,             0.00028308,             0.00028308
                     84,                0.43554,                0.23622,                0.91121,                0.97955,                0.97992,                0.99084,                0.86223,                0.58667,                0.25685,                 1.0251,             0.00026894,             0.00026894,             0.00026894
                     85,                   0.43,                0.23349,                0.90939,                0.98747,                0.97309,                0.99091,                0.86234,                0.58437,                0.25573,                 1.0235,             0.00025479,             0.00025479,             0.00025479
                     86,                0.42941,                0.23176,                0.90828,                0.98448,                0.97588,                0.99079,                0.86255,                0.58633,                0.25724,                  1.026,             0.00024064,             0.00024064,             0.00024064
                     87,                0.42465,                0.23022,                0.90861,                0.98666,                0.97721,                0.99135,                 0.8629,                0.58755,                0.25501,                 1.0275,              0.0002265,              0.0002265,              0.0002265
                     88,                0.42089,                0.22917,                0.90537,                0.98624,                 0.9763,                 0.9913,                0.86264,                 0.5873,                0.25547,                 1.0272,             0.00021235,             0.00021235,             0.00021235
                     89,                0.42049,                0.22733,                0.90337,                0.98581,                 0.9755,                0.99083,                 0.8643,                0.58562,                0.25503,                 1.0299,              0.0001982,              0.0001982,              0.0001982
                     90,                0.42086,                0.22535,                0.90939,                 0.9818,                0.97975,                0.99095,                0.86339,                0.58761,                0.25665,                  1.033,             0.00018406,             0.00018406,             0.00018406
                     91,                0.37016,                0.18276,                0.86253,                0.98198,                0.97927,                0.99103,                0.86458,                0.58663,                 0.2564,                 1.0331,             0.00016991,             0.00016991,             0.00016991
                     92,                0.36407,                0.17997,                0.85433,                0.98793,                0.97416,                0.99143,                0.86767,                0.58615,                0.25317,                 1.0316,             0.00015576,             0.00015576,             0.00015576
                     93,                0.35932,                0.17658,                0.85676,                0.98812,                0.97327,                0.99115,                0.86721,                0.58574,                0.25529,                 1.0324,             0.00014161,             0.00014161,             0.00014161
                     94,                0.35356,                0.17598,                0.85107,                0.97909,                 0.9822,                0.99136,                0.86785,                0.58557,                 0.2539,                 1.0324,             0.00012747,             0.00012747,             0.00012747
                     95,                0.35171,                0.17425,                0.85294,                0.98207,                0.98067,                0.99141,                0.86933,                0.58419,                0.25154,                 1.0344,             0.00011332,             0.00011332,             0.00011332
                     96,                0.34714,                0.17209,                0.85089,                0.98388,                0.97878,                0.99123,                0.86879,                0.58439,                0.25392,                 1.0395,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 0.3438,                0.17009,                0.84726,                 0.9844,                0.97805,                0.99094,                0.86794,                0.58418,                0.25315,                 1.0399,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 0.3414,                0.16866,                0.84447,                0.98527,                0.97867,                0.99084,                 0.8678,                0.58407,                0.25193,                 1.0394,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.33748,                 0.1665,                0.84506,                0.98464,                 0.9779,                0.99085,                0.86947,                0.58315,                0.25233,                  1.038,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.33701,                0.16639,                0.84387,                0.98552,                0.97794,                0.99085,                0.86908,                 0.5834,                0.25082,                 1.0378,             4.2584e-05,             4.2584e-05,             4.2584e-05
